,word,x,y
0,Praise,3.3479857033577174,1.0351292752389765
1,The,10.855207430060668,-0.7120774445795637
2,Immortals,-6.655656688928015,3.592665139375881
3,Meluha,-8.155829367649872,-6.274223169666745
4,‘,-9.713118479007617,-5.414066716618745
5,Shiva,-9.560305741386824,-3.8966792009259175
6,rocks,4.99733342265228,7.914366442094156
7,Just,-7.572629472451343,-3.7743835044008383
8,much,-7.811119969200828,-5.408797359149648
9,imagination,-7.885608504898585,2.731251470365676
10,made,-6.749353513072075,-5.504677639113186
11,obvious,-3.9982418583672765,9.165225130445348
12,’,-9.506436730169842,-5.478155534323286
13,journey,-6.452781578442078,-5.211327908507077
14,cool,-3.787013702823275,-8.383375012461276
15,Mahadev,-7.559897647622021,-5.303254955095214
16,reader,-0.05107499062551515,7.776064803563839
17,delight,0.22486477734560004,-7.957198468304871
18,What,-9.597092360764984,-5.422286247958632
19,really,-8.878962111644933,-5.477752554470056
20,author,-5.340323078616673,9.171354765973307
21,almost,10.554369900680113,-0.5316745314622725
22,joy,-5.819951848507721,-0.4911079320415167
23,—,5.386714235474852,3.0295083781079644
24,Times,-1.4114464028045703,3.4314517884337334
25,India,-7.055327543032324,-5.740710886954496
26,story,-4.380338026551859,9.779129630091436
27,gripping,-2.856649224564581,-6.966331634526469
28,An,-0.874612408668501,-3.885868443533908
29,essentially,-0.47883095755906946,-6.027501774532025
30,mythological,-1.099948387846194,7.888361727314796
31,written,-7.151680164514018,6.415489192735643
32,modern,4.090600420154564,8.255156179860654
33,style,-8.999391356869424,3.205064196497687
34,novel,-1.079421487950823,-6.210000446823102
35,creates,-0.989109326981246,7.658829947378811
36,anticipation,-2.601725636000263,1.3030224652369193
37,readers,-0.7514473939552142,-5.707651918045366
38,mind,-7.515917602122889,-4.456245576950609
39,one,-7.109031373864887,-6.057941101693539
40,read,-6.792086221372253,5.388160292668448
41,great,-7.565529573128557,-5.503386614749917
42,curiosity,7.498171869912685,0.29357450749860364
43,till,-6.76882697342059,-5.5919978297272666
44,end,1.9290354653903639,-6.090036020777601
45,however,6.304877505000951,2.502672265581905
46,leaves,-6.859382911722258,8.984536208545059
47,World,5.585888025742987,-8.545700842406402
48,Amongst,7.839343641866254,-6.272194813985591
49,top,9.946923518327173,0.19359502536572035
50,5,-1.6696630032238167,7.839450657426682
51,books,-0.7167347523623473,7.741954276618009
52,fascinating,6.688726805302157,-8.255702504492845
53,Hindustan,2.426089616942163,0.3230471827541907
54,philosophy,8.634416279617788,3.814259221316482
55,racy,-4.787932345472013,-4.460912737581481
56,enough,-6.691228862701394,-5.814651588720524
57,give,-7.95911590054145,-5.507155037600248
58,adventure,-3.1307010245515743,-3.0824681815386326
59,lifetime,2.6169711109427687,8.439463812336474
60,Hindu,-1.981512507507521,7.917042489292735
61,list,-2.8475337736403943,2.3214995542791033
62,favourite,-8.184397278798603,4.539379377259552
63,2010,-4.9380930166290335,-4.78993236050855
64,A,10.811909574807814,-1.14692660611388
65,fast,-6.8834721357907,8.381227995215989
66,paced,5.28573977800227,-1.2936485707060505
67,bound,8.958815094666617,5.2992433539107076
68,cover,-6.582102745742061,8.774767651777209
69,sitting,-0.2722946605881919,10.22512197508306
70,Deccan,4.41490738044771,-1.7899963325396329
71,Much,4.55808288013455,6.253737767047731
72,verdict,7.23724706739202,-8.383461836160402
73,became,-4.469129366951646,8.792025598214808
74,apparent,-1.3722489172025902,-7.304718926540651
75,Indian,-5.93641948897232,9.056262747741783
76,gave,4.774201063805362,3.446421435674755
77,Of,-9.270246596313756,-5.240104000794077
78,Its,-7.643906554363217,6.316747155382609
79,Amish,-5.990023449548079,9.022047015127935
80,IIM,4.031246981319262,0.3502997607258956
81,created,-4.9986542185096665,9.472306653891984
82,mix,-2.7769608490818434,6.9467391342605005
83,mythology,7.459260688825755,4.622135720694856
84,history,-4.068307887624745,8.782176409033918
85,making,1.5575792283482415,-5.62460960605307
86,Lord,-9.560333916452706,-5.593081783398972
87,hero,-1.0073489079302294,1.1743116951859776
88,trilogy,-0.7068424604509059,-7.986121735991453
89,first,-3.562500274973188,-4.693377847295148
90,part,1.6959696637943817,-5.770933886835883
91,quite,-4.10548678373923,9.495810167817298
